Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,CLTV,Churn,Tenure_Group,Online Security_flag,Online Backup_flag,Device Protection_flag,Tech Support_flag,Streaming TV_flag,Streaming Movies_flag,Total_Services,Has_Addons,Has_Fiber,Has_Autopay,Is_Senior,Is_Family,Is_New_Customer,Avg_Charge
Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,3239,1,0-6,1,1,0,0,0,0,2,1,0,0,0,0,1,54.075
Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,2701,1,0-6,0,0,0,0,0,0,0,0,1,0,0,1,1,75.825
Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,5372,1,7-12,0,0,1,0,1,1,3,1,1,0,0,1,0,102.5625
Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,5003,1,25-36,0,0,1,1,1,1,4,1,1,0,0,1,0,108.78750000000001
Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5340,1,49-60,0,1,1,0,1,1,4,1,1,1,0,1,0,102.78163265306122
Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,5925,1,7-12,0,0,1,1,0,0,2,1,0,1,0,1,0,52.835
Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,5433,1,0-6,0,0,1,0,0,1,2,1,0,0,1,0,1,39.65
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,4832,1,0-6,0,0,0,0,0,0,0,0,0,0,0,0,1,20.15
Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,5789,1,37-48,0,1,0,0,1,1,3,1,1,0,0,1,0,101.04574468085106
Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,2915,1,0-6,0,1,0,0,0,0,1,1,0,0,0,1,1,30.2
Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,3022,1,13-24,0,0,0,0,1,1,2,1,0,0,0,0,0,64.3
Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,2454,1,0-6,0,0,0,0,0,0,0,0,1,0,0,1,1,63.379999999999995
Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,2941,1,25-36,0,1,1,0,1,1,4,1,1,0,0,1,0,104.38970588235294
Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,5674,1,7-12,0,0,1,0,1,1,3,1,1,1,0,1,0,100.4909090909091
Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,5586,1,0-6,0,0,0,0,1,0,1,1,1,0,0,1,1,72.075
Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,2966,1,13-24,1,1,0,0,1,1,4,1,1,1,0,1,0,95.09333333333333
Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,5302,1,7-12,0,1,0,0,0,0,1,1,1,1,1,1,0,79.1625
Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,3179,1,13-24,0,0,0,0,1,1,2,1,1,0,1,1,0,97.36388888888888
Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,5571,1,7-12,0,0,0,0,1,1,2,1,1,0,0,1,0,95.25
Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,2483,1,0-6,0,0,0,0,1,0,1,1,1,0,0,1,1,79.35
Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,3457,1,7-12,0,0,1,0,0,0,1,1,1,1,0,1,0,70.98571428571428
Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,5806,1,7-12,1,0,0,0,0,0,1,1,1,0,0,1,0,77.27916666666667
